sample_id,cwe,lines,chars,max_nesting,functions,ast_time,ast_success,ast_error,ast_timeout,cfg_time,cfg_success,cfg_error,cfg_timeout,pdg_time,pdg_success,pdg_error,pdg_timeout,memory_delta,peak_memory,total_time,success_rate
unknown,CWE-119,88,2802,0,0,0.0021910667419433594,True,,False,0.0017018318176269531,True,,False,0.0031638145446777344,True,,False,0.671875,246.984375,0.007056713104248047,1.0
unknown,CWE-119,57,2166,0,0,0.0007429122924804688,True,,False,0.0003859996795654297,True,,False,0.0010960102081298828,True,,False,0.0,246.984375,0.0022249221801757812,1.0
unknown,CWE-119,59,1832,0,0,0.0011420249938964844,True,,False,0.0004360675811767578,True,,False,0.0013670921325683594,True,,False,0.0,246.984375,0.0029451847076416016,1.0
unknown,CWE-119,109,2777,0,0,0.002057790756225586,True,,False,0.0007059574127197266,True,,False,0.00514984130859375,True,,False,0.015625,247.0,0.007913589477539062,1.0
unknown,CWE-119,52,1373,0,0,0.0015950202941894531,True,,False,0.0006089210510253906,True,,False,0.0015480518341064453,True,,False,0.015625,247.015625,0.003751993179321289,1.0
unknown,CWE-119,14,388,0,0,0.000347137451171875,True,,False,0.0002422332763671875,True,,False,0.00074005126953125,True,,False,0.0,247.015625,0.0013294219970703125,1.0
unknown,CWE-119,104,2600,0,0,0.0013141632080078125,True,,False,0.0005710124969482422,True,,False,0.0028531551361083984,True,,False,0.0,247.015625,0.004738330841064453,1.0
unknown,CWE-119,30,916,0,0,0.000576019287109375,True,,False,0.0003077983856201172,True,,False,0.0007171630859375,True,,False,0.0,247.015625,0.0016009807586669922,1.0
unknown,CWE-119,52,1377,0,0,0.0008058547973632812,True,,False,0.0003571510314941406,True,,False,0.0011591911315917969,True,,False,0.0,247.015625,0.0023221969604492188,1.0
unknown,CWE-119,30,906,0,0,0.0005319118499755859,True,,False,0.0002257823944091797,True,,False,0.0006692409515380859,True,,False,0.0,247.015625,0.0014269351959228516,1.0
unknown,CWE-119,109,2766,0,0,0.0012662410736083984,True,,False,0.00045800209045410156,True,,False,0.003161191940307617,True,,False,0.0,247.015625,0.004885435104370117,1.0
